#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
40,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
41,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
42,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
43,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE
44,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE
45,Diglett,Ground,<UNK>,265,10,55,25,35,45,95,1,FALSE
46,Dugtrio,Ground,<UNK>,405,35,80,50,50,70,120,1,FALSE
47,Meowth,Normal,<UNK>,290,40,45,35,40,40,90,1,FALSE
48,Persian,Normal,<UNK>,440,65,70,60,65,65,115,1,FALSE
49,Psyduck,Water,<UNK>,320,50,52,48,65,50,55,1,FALSE
50,Golduck,Water,<UNK>,500,80,82,78,95,80,85,1,FALSE
51,Mankey,Fighting,<UNK>,305,40,80,35,35,45,70,1,FALSE
52,Primeape,Fighting,<UNK>,455,65,105,60,60,70,95,1,FALSE
53,Growlithe,Fire,<UNK>,350,55,70,45,70,50,60,1,FALSE
54,Arcanine,Fire,<UNK>,555,90,110,80,100,80,95,1,FALSE
55,Poliwag,Water,<UNK>,300,40,50,40,40,40,90,1,FALSE
56,Poliwhirl,Water,<UNK>,385,65,65,65,50,50,90,1,FALSE
57,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
58,Abra,Psychic,<UNK>,310,25,20,15,105,55,90,1,FALSE
59,Kadabra,Psychic,<UNK>,400,40,35,30,120,70,105,1,FALSE
60,Alakazam,Psychic,<UNK>,500,55,50,45,135,95,120,1,FALSE
61,AlakazamMega Alakazam,Psychic,<UNK>,590,55,50,65,175,95,150,1,FALSE
62,Machop,Fighting,<UNK>,305,70,80,50,35,35,35,1,FALSE
63,Machoke,Fighting,<UNK>,405,80,100,70,50,60,45,1,FALSE
64,Machamp,Fighting,<UNK>,505,90,130,80,65,85,55,1,FALSE
65,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
65-mega,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE
66,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
67,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE
68,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
69,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE
70,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE
71,Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE
72,Ponyta,Fire,<UNK>,410,50,85,55,65,65,90,1,FALSE
73,Rapidash,Fire,<UNK>,500,65,100,70,80,80,105,1,FALSE
74,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE
75,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
76,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,FALSE
77,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE
78,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
79,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE
80-mega,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE
80,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
81,Seel,Water,<UNK>,325,65,45,55,45,70,45,1,FALSE
82,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE
83,Grimer,Poison,<UNK>,325,80,80,50,40,50,25,1,FALSE
84,Muk,Poison,<UNK>,500,105,105,75,65,100,50,1,FALSE
85,Shellder,Water,<UNK>,305,30,65,100,45,25,40,1,FALSE
86,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
87,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE
88,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE
89,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE
90,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE
91,Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
92,Drowzee,Psychic,<UNK>,328,60,48,45,43,90,42,1,FALSE
93,Hypno,Psychic,<UNK>,483,85,73,70,73,115,67,1,FALSE
94-mega,Krabby,Water,<UNK>,325,30,105,90,25,25,50,1,FALSE
94,Kingler,Water,<UNK>,475,55,130,115,50,50,75,1,FALSE
95,Voltorb,Electric,<UNK>,330,40,30,50,55,55,100,1,FALSE
96,Electrode,Electric,<UNK>,480,60,50,70,80,80,140,1,FALSE
97,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE
98,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE
99,Cubone,Ground,<UNK>,320,50,50,95,40,50,35,1,FALSE
100,Marowak,Ground,<UNK>,425,60,80,110,50,80,45,1,FALSE
101,Hitmonlee,Fighting,<UNK>,455,50,120,53,35,110,87,1,FALSE
102,Hitmonchan,Fighting,<UNK>,455,50,105,79,35,110,76,1,FALSE
103,Lickitung,Normal,<UNK>,385,90,55,75,60,75,30,1,FALSE
104,Koffing,Poison,<UNK>,340,40,65,95,60,45,35,1,FALSE
105,Weezing,Poison,<UNK>,490,65,90,120,85,70,60,1,FALSE
106,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE
107,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
108,Chansey,Normal,<UNK>,450,250,5,5,35,105,50,1,FALSE
109,Tangela,Grass,<UNK>,435,65,55,115,100,40,60,1,FALSE
110,Kangaskhan,Normal,<UNK>,490,105,95,80,40,80,90,1,FALSE
111,KangaskhanMega Kangaskhan,Normal,<UNK>,590,105,125,100,60,100,100,1,FALSE
112,Horsea,Water,<UNK>,295,30,40,70,70,25,60,1,FALSE
113,Seadra,Water,<UNK>,440,55,65,95,95,45,85,1,FALSE
114,Goldeen,Water,<UNK>,320,45,67,60,35,50,63,1,FALSE
115,Seaking,Water,<UNK>,450,80,92,65,65,80,68,1,FALSE
115-mega,Staryu,Water,<UNK>,340,30,45,55,70,55,85,1,FALSE
116,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE
117,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE
118,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
119,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE
120,Electabuzz,Electric,<UNK>,490,65,83,57,95,85,105,1,FALSE
121,Magmar,Fire,<UNK>,495,65,95,57,100,85,93,1,FALSE
122,Pinsir,Bug,<UNK>,500,65,125,100,55,70,85,1,FALSE
123,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE
124,Tauros,Normal,<UNK>,490,75,100,95,40,70,110,1,FALSE
125,Magikarp,Water,<UNK>,200,20,10,55,15,20,80,1,FALSE
126,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
127-mega,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE
127,Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE
128,Ditto,Normal,<UNK>,288,48,48,48,48,48,48,1,FALSE
129,Eevee,Normal,<UNK>,325,55,55,50,45,65,55,1,FALSE
130-mega,Vaporeon,Water,<UNK>,525,130,65,60,110,95,65,1,FALSE
130,Jolteon,Electric,<UNK>,525,65,65,60,110,95,130,1,FALSE
131,Flareon,Fire,<UNK>,525,65,130,60,95,110,65,1,FALSE
132,Porygon,Normal,<UNK>,395,65,60,70,85,75,40,1,FALSE
133,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE
134,Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE
135,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE
136,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE
137,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
138,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
139,Snorlax,Normal,<UNK>,540,160,110,65,65,110,30,1,FALSE
140,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
141,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE
142,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
142-mega,Dratini,Dragon,<UNK>,300,41,64,45,50,50,50,1,FALSE
143,Dragonair,Dragon,<UNK>,420,61,84,65,70,70,70,1,FALSE
144,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
145,Mewtwo,Psychic,<UNK>,680,106,110,90,154,90,130,1,TRUE
146,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE
147,MewtwoMega Mewtwo Y,Psychic,<UNK>,780,106,150,70,194,120,140,1,TRUE
148,Mew,Psychic,<UNK>,600,100,100,100,100,100,100,1,FALSE
149,Chikorita,Grass,<UNK>,318,45,49,65,49,65,45,2,FALSE
150-mega-y,Bayleef,Grass,<UNK>,405,60,62,80,63,80,60,2,FALSE
150-mega-x,Meganium,Grass,<UNK>,525,80,82,100,83,100,80,2,FALSE
150,Cyndaquil,Fire,<UNK>,309,39,52,43,60,50,65,2,FALSE
151,Quilava,Fire,<UNK>,405,58,64,58,80,65,80,2,FALSE
152,Typhlosion,Fire,<UNK>,534,78,84,78,109,85,100,2,FALSE
153,Totodile,Water,<UNK>,314,50,65,64,44,48,43,2,FALSE
154,Croconaw,Water,<UNK>,405,65,80,80,59,63,58,2,FALSE
155,Feraligatr,Water,<UNK>,530,85,105,100,79,83,78,2,FALSE
156,Sentret,Normal,<UNK>,215,35,46,34,35,45,20,2,FALSE
157,Furret,Normal,<UNK>,415,85,76,64,45,55,90,2,FALSE
158,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE
159,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE
160,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE
161,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE
162,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE
163,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE
164,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE
165,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE
166,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE
167,Pichu,Electric,<UNK>,205,20,40,15,35,35,60,2,FALSE
168,Cleffa,Fairy,<UNK>,218,50,25,28,45,55,15,2,FALSE
169,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE
170,Togepi,Fairy,<UNK>,245,35,20,65,40,65,20,2,FALSE
171,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE
172,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE
173,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE
174,Mareep,Electric,<UNK>,280,55,40,40,65,45,35,2,FALSE
175,Flaaffy,Electric,<UNK>,365,70,55,55,80,60,45,2,FALSE
176,Ampharos,Electric,<UNK>,510,90,75,85,115,90,55,2,FALSE
177,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE
178,Bellossom,Grass,<UNK>,490,75,80,95,90,100,50,2,FALSE
179,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
180,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE
181-mega,Sudowoodo,Rock,<UNK>,410,70,100,115,30,65,30,2,FALSE
181,Politoed,Water,<UNK>,500,90,75,75,90,100,70,2,FALSE
182,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE
183,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE
184,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE
185,Aipom,Normal,<UNK>,360,55,70,55,40,55,85,2,FALSE
186,Sunkern,Grass,<UNK>,180,30,30,30,30,30,30,2,FALSE
187,Sunflora,Grass,<UNK>,425,75,75,55,105,85,30,2,FALSE
188,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE
189,Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE
190,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE
191,Espeon,Psychic,<UNK>,525,65,65,60,130,95,110,2,FALSE
192,Umbreon,Dark,<UNK>,525,95,65,110,60,130,65,2,FALSE
193,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE
194,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
195,Misdreavus,Ghost,<UNK>,435,60,60,60,85,85,85,2,FALSE
196,Unown,Psychic,<UNK>,336,48,72,48,72,48,48,2,FALSE
197,Wobbuffet,Psychic,<UNK>,405,190,33,58,33,58,33,2,FALSE
198,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE
199,Pineco,Bug,<UNK>,290,50,65,90,35,35,15,2,FALSE
200,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE
201-f,Dunsparce,Normal,<UNK>,415,100,70,70,65,65,45,2,FALSE
202,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE
203,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE
204,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE
205,Snubbull,Fairy,<UNK>,300,60,80,50,40,40,30,2,FALSE
206,Granbull,Fairy,<UNK>,450,90,120,75,60,60,45,2,FALSE
207,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE
208-mega,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE
208,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE
209,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE
210,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE
211,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE
212,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE
212-mega,Teddiursa,Normal,<UNK>,330,60,80,50,50,50,40,2,FALSE
213,Ursaring,Normal,<UNK>,500,90,130,75,75,75,55,2,FALSE
214,Slugma,Fire,<UNK>,250,40,40,40,70,40,20,2,FALSE
214-mega,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE
215,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE
216,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE
217,Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE
218,Remoraid,Water,<UNK>,300,35,65,35,65,35,65,2,FALSE
219,Octillery,Water,<UNK>,480,75,105,75,105,75,45,2,FALSE
220,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE
221,Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE
222,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE
223,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE
224,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE
225,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,FALSE
226,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE
227,Phanpy,Ground,<UNK>,330,90,60,60,40,40,40,2,FALSE
228,Donphan,Ground,<UNK>,500,90,120,120,60,60,50,2,FALSE
229,Porygon2,Normal,<UNK>,515,85,80,90,105,95,60,2,FALSE
229-mega,Stantler,Normal,<UNK>,465,73,95,62,85,65,85,2,FALSE
230,Smeargle,Normal,<UNK>,250,55,20,35,20,45,75,2,FALSE
231,Tyrogue,Fighting,<UNK>,210,35,35,35,35,35,35,2,FALSE
232,Hitmontop,Fighting,<UNK>,455,50,95,95,35,110,70,2,FALSE
233,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE
234,Elekid,Electric,<UNK>,360,45,63,37,65,55,95,2,FALSE
235,Magby,Fire,<UNK>,365,45,75,37,70,55,83,2,FALSE
236,Miltank,Normal,<UNK>,490,95,80,105,40,70,100,2,FALSE
237,Blissey,Normal,<UNK>,540,255,10,10,75,135,55,2,FALSE
238,Raikou,Electric,<UNK>,580,90,85,75,115,100,115,2,TRUE
239,Entei,Fire,<UNK>,580,115,115,85,90,75,100,2,TRUE
240,Suicune,Water,<UNK>,580,100,75,115,90,115,85,2,TRUE
241,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE
242,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE
243,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE
244,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,FALSE
245,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE
246,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE
247,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE
248-mega,Treecko,Grass,<UNK>,310,40,45,35,65,55,70,3,FALSE
248,Grovyle,Grass,<UNK>,405,50,65,45,85,65,95,3,FALSE
249,Sceptile,Grass,<UNK>,530,70,85,65,105,85,120,3,FALSE
250,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE
251,Torchic,Fire,<UNK>,310,45,60,40,70,50,45,3,FALSE
252,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE
253,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
254-mega,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
254,Mudkip,Water,<UNK>,310,50,70,50,50,50,40,3,FALSE
255,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
256,Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
257-mega,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,FALSE
257,Poochyena,Dark,<UNK>,220,35,55,35,30,30,35,3,FALSE
258,Mightyena,Dark,<UNK>,420,70,90,70,60,60,70,3,FALSE
259,Zigzagoon,Normal,<UNK>,240,38,30,41,30,41,60,3,FALSE
260-mega,Linoone,Normal,<UNK>,420,78,70,61,50,61,100,3,FALSE
260,Wurmple,Bug,<UNK>,195,45,45,35,20,30,20,3,FALSE
261,Silcoon,Bug,<UNK>,205,50,35,55,25,25,15,3,FALSE
262,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE
263,Cascoon,Bug,<UNK>,205,50,35,55,25,25,15,3,FALSE
264,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE
265,Lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE
266,Lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE
267,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE
268,Seedot,Grass,<UNK>,220,40,40,50,30,30,30,3,FALSE
269,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE
270,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
271,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE
272,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE
273,Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
274,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
275,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE
276,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE
277,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE
278,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE
279,Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
280,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE
281,Shroomish,Grass,<UNK>,295,60,40,60,40,60,35,3,FALSE
282-mega,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
282,Slakoth,Normal,<UNK>,280,60,60,60,35,35,30,3,FALSE
283,Vigoroth,Normal,<UNK>,440,80,80,80,55,55,90,3,FALSE
284,Slaking,Normal,<UNK>,670,150,160,100,95,65,100,3,FALSE
285,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE
286,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE
287,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE
288,Whismur,Normal,<UNK>,240,64,51,23,51,23,28,3,FALSE
289,Loudred,Normal,<UNK>,360,84,71,43,71,43,48,3,FALSE
290,Exploud,Normal,<UNK>,490,104,91,63,91,73,68,3,FALSE
291,Makuhita,Fighting,<UNK>,237,72,60,30,20,30,25,3,FALSE
292,Hariyama,Fighting,<UNK>,474,144,120,60,40,60,50,3,FALSE
293,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE
294,Nosepass,Rock,<UNK>,375,30,45,135,45,90,30,3,FALSE
295,Skitty,Normal,<UNK>,260,50,45,45,35,35,50,3,FALSE
296,Delcatty,Normal,<UNK>,380,70,65,65,55,55,70,3,FALSE
297,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
298,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE
299,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE
300,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
301,Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
302-mega,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE
302,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
303-mega,AggronMega Aggron,Steel,<UNK>,630,70,140,230,60,80,50,3,FALSE
303,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE
304,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
305,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
306,Electrike,Electric,<UNK>,295,40,45,40,65,40,65,3,FALSE
306-mega,Manectric,Electric,<UNK>,475,70,75,60,105,60,105,3,FALSE
307,ManectricMega Manectric,Electric,<UNK>,575,70,75,80,135,80,135,3,FALSE
308-mega,Plusle,Electric,<UNK>,405,60,50,40,85,75,95,3,FALSE
308,Minun,Electric,<UNK>,405,60,40,50,75,85,95,3,FALSE
309,Volbeat,Bug,<UNK>,400,65,73,55,47,75,85,3,FALSE
310,Illumise,Bug,<UNK>,400,65,47,55,73,75,85,3,FALSE
310-mega,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
311,Gulpin,Poison,<UNK>,302,70,43,53,43,53,40,3,FALSE
312,Swalot,Poison,<UNK>,467,100,73,83,73,83,55,3,FALSE
313,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
314,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
315,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,FALSE
316,Wailmer,Water,<UNK>,400,130,70,35,70,35,60,3,FALSE
317,Wailord,Water,<UNK>,500,170,90,45,90,45,60,3,FALSE
318,Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
319-mega,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
319,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,FALSE
320,Torkoal,Fire,<UNK>,470,70,85,140,85,70,20,3,FALSE
321,Spoink,Psychic,<UNK>,330,60,25,35,70,80,60,3,FALSE
322,Grumpig,Psychic,<UNK>,470,80,45,65,90,110,80,3,FALSE
